age,qx
20,0.102
21,0.0981
22,0.0943
23,0.0905
24,0.0868
25,0.0831
26,0.0795
27,0.0757
28,0.072
29,0.0685
30,0.0656
31,0.064
32,0.064
33,0.064
34,0.0639
35,0.0639
36,0.0639
37,0.0639
38,0.0639
39,0.0633
40,0.0622
41,0.0599
42,0.0583
43,0.0558
44,0.0546
45,0.053
46,0.0525
47,0.052
48,0.0516
49,0.0512
50,0.051
51,0.0503
52,0.0496
53,0.0486
54,0.0485
55,0.0485
56,0.0487
57,0.0489
58,0.0495
59,0.0501
60,0.0512
61,0.0529
62,0.055
63,0.0573
64,0.0602
65,0.0629
66,0.0653
67,0.0685
68,0.0715
69,0.0744
70,0.078
71,0.081
72,0.083
73,0.085
74,0.087
75,0.089
76,0.0972
77,0.1059
78,0.115
79,0.1249
80,0.1355
81,1.0
